nu_notific;nome;sexo;data_nasc;idade;cpf;nome_mae
10081213;Isabella Rocha Rocha;feminino;1974-11-29;47;734.909.101-09;Lauren Rocha Rocha
10081687;Fábio Martins Santos;masculino;1963-04-10;59;716.953.084-84;Lizandra Martins Santos
10083244;Douglas Rodrigues Barros;masculino;1951-01-20;71;103.621.336-62;Aurilene Rodrigues Barros
10083404;Maria Azevedo Alves;feminino;1981-01-23;41;800.191.340-61;Odila Azevedo Alves
10084031;Isabella Alves Oliveira;feminino;1965-11-14;56;171.967.310-18;Analice Alves Oliveira
10084068;Beatrice Costa Barros;feminino;1966-09-29;55;914.394.510-44;Tayane Costa Barros
10084712;Rebeca Sousa Castro;feminino;1954-10-21;67;289.222.614-71;Graziela Sousa Castro
10085690;Erick Alves Pinto;masculino;1946-10-25;75;781.959.651-13;Karol Alves Pinto
10086398;Vitória Almeida Cardoso;feminino;1986-09-14;35;564.748.681-98;Keite Almeida Cardoso
10088964;Tânia Costa Almeida;feminino;1987-09-21;34;680.295.140-18;Isolina Costa Almeida
10095142;Breno Costa Lima;masculino;1959-03-01;63;217.096.797-43;Jocimara Fragoso
10098117;Isabelle Oliveira Almeida;feminino;1958-06-17;64;775.036.685-71;Veralucia Oliveira Almeida
10099526;João Rocha Almeida;masculino;1997-08-14;24;245.432.341-97;Elizia Rocha Almeida
10101438;Mateus Barros Cunha;masculino;1958-10-17;63;128.027.663-09;Nilzete Barros Cunha
10104316;Rafael Barros Cardoso;masculino;1939-04-13;83;533.022.911-16;Edlene Barros Cardoso
10106520;Luhan Carvalho Pereira;masculino;1958-09-14;63;483.257.155-96;Rosimere Carvalho Pereira
10114177;Mariana Pereira Almeida;feminino;1953-06-12;69;120.544.249-94;Sabrina Pereira Almeida
10116492;Paulo Correia Souza;masculino;1949-06-17;73;756.342.314-18;Alair Correia Souza
10116799;Letícia Barros Cardoso;feminino;1987-03-20;35;215.420.023-03;Cauana Barros Cardoso
10117843;Ágatha Ribeiro Santos;feminino;1959-06-29;63;383.355.032-57;Lucinalva Ribeiro Santos
10118316;Martim Costa Azevedo;masculino;1983-06-14;39;857.657.013-02;Valkiria Costa Azevedo
10118323;Mateus Santos Martins;masculino;1958-08-15;63;792.768.278-46;Eleonora Gimenez
10118457;João Alves Dias;masculino;1980-11-04;41;373.6635.859-12;Romilda Mesquita
10119806;Luiz Melo Rodrigues;masculino;1979-06-30;43;223.209.407-31;Marciane Coelho
10119945;Lara Cardoso Barros;feminino;1962-12-24;59;655.248.276-00;Gabriel Cardoso Barros
10123371;Isabella Cardoso Santos;feminino;1980-06-14;42;673.242.855-11;Isabely Cardoso Santos
10123779;Davi Silva Dias;masculino;1952-11-29;69;513.138.167-36;Nazare Silva Dias
10126810;Guilherme Lima Oliveira;masculino;2000-04-22;22;246.010.264-07;Elielma Lima Oliveira
10130061;Lavinia Dias Pereira;feminino;1962-08-11;59;160.449.339-97;Itamara Dias Pereira
10131362;Cauã Barbosa Castro;masculino;1957-04-21;65;736.788.697-50;Leia Barbosa Castro
10132596;Gabriela Lima Barbosa;feminino;1943-04-15;79;743.933.872-36;Lourdes Assis
10134542;Evelyn Alves Souza;feminino;1997-11-17;24;370.675.165-87;Wilma do Vale
10140051;Antônio Souza Cardoso;masculino;1970-12-02;51;630.069.487-93;Elza Souza Cardoso
10143761;Danilo Carvalho Oliveira;masculino;1952-06-21;70;398.416.189-15;Euvira Carvalho Oliveira
10145157;Cauã Correia Melo;masculino;1998-06-03;24;366.237.214-28;Lauana Correia Melo
10145468;Kauê Silva Silva;masculino;1981-09-19;40;213.949.724-40;Nilse Silva Silva
10151489;Leila Martins Souza;feminino;1941-10-31;80;929.360.811-14;Katiele de Sales
10153262;Fábio Almeida Araujo;masculino;1981-01-19;41;674.905.180-40;Jucara Almeida Araujo
10156704;Sophia Araujo Cunha;feminino;1937-08-17;84;277.717.696-59;Mariele Araujo Cunha
10157086;Julieta Castro Gomes;feminino;1977-11-29;44;886.471.083-37;Thalita Castro Gomes
10162284;Julia Pereira Araujo;feminino;1956-04-04;66;796.381.427-07;Natalice Pereira Araujo
10162445;Guilherme Barros Oliveira;masculino;1976-08-04;46;676.565.801-74;Marilucia Barros Oliveira
10162483;Guilherme Barros Ribeiro;masculino;1970-09-03;51;741.226.759-01;Aracy Barros Ribeiro
10165465;Carlos Sousa Cunha;masculino;1953-09-08;68;509.365.848-07;Zelia Sousa Cunha
10165885;Anna Almeida Costa;feminino;1967-09-28;54;215.147.059-82;Lurdes de Paula
10165949;José Martins Cavalcanti;masculino;1989-12-25;32;821.004.318-89;Lucila Louzada
10168362;Gabrielle Rocha Barbosa;feminino;1939-07-22;83;173.887.444-36;Antonina Rocha Barbosa
10169033;Gabriela Ferreira Oliveira;feminino;1967-06-10;55;136.330.212-48;Elizabet Evangelista
10169318;Luís Silva Azevedo;masculino;1938-02-08;84;124.752.995-92;Julha Silva Azevedo
10170929;Larissa Martins Melo;feminino;1968-03-27;54;130.584.397-50;Graca Martins Melo
10171870;Yasmin Ribeiro Azevedo;feminino;1996-06-07;26;906.318.963-09;Jucineide Ribeiro Azevedo
10172329;Sofia Costa Ferreira;feminino;2001-10-22;20;449.733.670-01;Ireni Costa Ferreira
10173729;Bruno Santos Martins;masculino;1971-07-20;51;233.516.263-20;Chaiane Santos Martins
10174392;Gabrielly Pinto Rodrigues;feminino;1948-10-24;73;654.366.227-12;Marcele Pinto Rodrigues
10174525;Davi Ferreira Cavalcanti;masculino;1974-05-15;48;534.029.542-73;Sirleia Ferreira Cavalcanti
10174738;Letícia Barros Sousa;feminino;1974-12-01;47;987.740.748-57;Adreia Barros Sousa
10178627;Ryan Ribeiro Gomes;masculino;1940-10-07;81;178.590.667-42;Izabella Ribeiro Gomes
10178978;Gabriele Alves Martins;feminino;1957-06-30;65;631.591.730-54;Cida Alves Martins
10179416;Ana Cavalcanti Souza;feminino;1953-07-12;69;555.792.518-07;Tania Cavalcanti Souza
10180062;Raissa Santos Sousa;feminino;1989-08-14;32;412.977.059-47;Ianca Martins da Silva
10184193;Matheus Pinto Sousa;masculino;1943-08-30;78;876.789.254-09;Marilei Pinto Sousa
10185051;Murilo Cardoso Souza;masculino;1941-04-19;81;449.109.886-70;Vania Mendonca
10185366;Julia Alves Almeida;feminino;1970-01-14;52;331.629.189-01;Juliete Alves Almeida
10186060;Evelyn Santos Sousa;feminino;1975-04-25;47;583.716.394-81;Zelia Santos Sousa
10186887;Brenda Palmeira Fernandes;feminino;1945-07-12;77;790.902.919-54;Edilene Ferreira Fernandes
10186890;Vitória Melo Rocha;feminino;1989-09-30;32;743.260.246-82;Josieli Silva
10187056;Vitoria Correia Almeida;feminino;1979-07-25;43;155.195.378-10;Cleidiane Correia Almeida
10188551;Carlos Goncalves Carvalho;masculino;1972-12-16;49;121.244.102-88;Hilda Henrique Santos
10188869;Paulo Barros Almeida;masculino;1972-01-09;50;337.997.565-66;Natali Barros Almeida
10189965;Guilherme Castro Barbosa;masculino;1951-12-04;70;832.643.843-02;Grasiele Castro Barbosa
10190488;Marisa Ribeiro Pinto;feminino;1961-12-13;60;935.870.221-43;Aracy Ribeiro Pinto
10192427;Gustavo Ferreira Sousa;masculino;1994-08-09;28;130.633.595-72;Evanir Ferreira Sousa
10193923;Vitór Dias Melo;masculino;1957-09-26;64;706.384.491-11;Iraci Dias Melo
10194195;Nicolash Alves Castro;masculino;1987-12-07;34;905.291.447-86;Adenir Alves Castro
10199958;Gabrielle Barros Fernandes;feminino;1988-03-28;34;915.046.663-13;Daina Barros Fernandes
10203531;Kauã Cunha Sousa;masculino;1988-01-03;34;808.470.090-17;Magali Cunha Sousa
10204478;Antônio Alves Araujo;masculino;1937-05-02;85;683.007.068-60;Kemilly Alves Araujo
10211571;Martim Alves Rocha;masculino;1938-07-29;84;663.197.709-61;Evanilda Sanches
10212580;Isabela Costa Costa;feminino;1938-02-21;84;992.309.257-72;Laine Costa Costa
10218080;Kay Martins Araujo;masculino;1959-01-04;63;900.429.743-05;Telma Martins Araujo
10221286;Kauê Santos Fernandes;masculino;1939-08-29;82;307.270.777-40;Gema Santos Fernandes
10224956;Pedro Correia Ribeiro;masculino;1943-07-15;79;746.517.473-29;Agatha Correia Ribeiro
10225036;Livia Martins Santos;feminino;1956-05-10;66;764.517.327-02;Andria Martins Santos
10229189;Beatrice Cardoso Cardoso;feminino;1989-06-06;33;242.753.854-03;Gabriele Cardoso Cardoso
10229302;Igor Cardoso Silva;masculino;1995-01-20;27;810.126.171-06;Deyse Lemes
10229692;Raissa Azevedo Almeida;feminino;1991-05-17;31;275.192.820-07;Kemili Marin
10230113;Douglas Araujo Rodrigues;masculino;1981-02-10;41;281.104.789-13;Franciane Araujo Rodrigues
10231849;Gabrielle Costa Ferreira;feminino;1986-08-14;35;730.969.001-08;Mauricelia Bispo
10235981;Larissa Ferreira Fernandes;feminino;1999-08-02;23;112.744.313-52;Katarina Viegas
10236871;Igor Cunha Ribeiro;masculino;1938-11-02;83;373.576.272-76;Valesca do Socorro Silva
10238346;Vinícius Pereira Alves;masculino;1950-01-01;72;293.111.041-83;Rafael Pereira Alves
10241006;Paulo Pereira Araujo;masculino;1942-01-19;80;445.768.016-86;Elaine Pereira Araujo
10243183;Rebeca Rocha Ribeiro;feminino;1994-09-05;27;216.341.796-41;Joselina Rocha Ribeiro
10244700;Julian Melo Azevedo;masculino;1954-03-23;68;674.955.141-67;Isabeli Seixas
10245287;Mateus Lima Azevedo;masculino;1996-07-08;26;188.041.000-10;Ruthe Lima Azevedo
10247048;Arthur Ribeiro Lima;masculino;1950-04-22;72;486.358.070-30;Miguelina Ribeiro Lima
10249054;Júlio Correia Rodrigues;masculino;1979-08-22;42;994.821.309-28;Emilene Correia Rodrigues
10250690;Carolina Castro Costa;feminino;2000-12-26;21;961.701.796-27;Elci Castro Costa
10252143;Matheus Araujo Oliveira;masculino;1976-04-12;46;867.384.373-15;Edileide Araujo Oliveira
10254346;Mateus Costa Souza;masculino;1994-09-21;27;378.883.221-58;Enir Costa Souza
10258047;Júlia Ribeiro Martins;feminino;1962-07-24;60;566.728.561-45;Sabrina Ribeiro Martins
10260615;Nicole Pereira Rodrigues;feminino;1962-08-25;59;162.286.913-33;Vilma Pereira Rodrigues
10266666;Amanda Cunha Sousa;feminino;1979-01-04;43;843.929.791-21;Jovita dos Anjos
10266852;Danilo Cunha Carvalho;masculino;1938-11-11;83;388.067.363-29;Eloisa Cunha Carvalho
10267147;Júlia Santos Cavalcanti;feminino;1970-03-31;52;654.443.225-36;Carla Araujo
10270112;Gustavo Castro Melo;masculino;1978-07-05;44;460.374.831-08;Lilian Bernardino
10270306;Ana Martins Rodrigues;feminino;1964-12-23;57;413.687.214-35;Iris Teodoro
10273203;Beatriz Sousa Rodrigues;feminino;1960-06-19;62;540.560.651-01;Josina Sousa Rodrigues
10273887;Eduardo Rodrigues Cardoso;masculino;1956-10-06;65;642.784.346-00;Ozana Rodrigues Cardoso
10275148;Bianca Cavalcanti Cardoso;feminino;1968-12-10;53;121.523.444-99;Elina Ambrosio
10275293;Isabelle Almeida Lima;feminino;2000-09-06;21;545.024.351-04;Ilka Almeida Lima
10275732;Leonor Alves Barros;feminino;2001-09-24;20;405.739.947-06;Marivalda Alves Barros
10276226;Marisa Almeida Gomes;feminino;1990-07-29;32;939.149.805-16;Ilana Almeida Gomes
10277246;Melissa Fernandes Barbosa;feminino;1955-10-07;66;194.431.858-57;Rosicleia Fernandes Barbosa
10283318;Guilherme Goncalves Barbosa;masculino;1980-07-08;42;914.604.087-05;Aline Goncalves Barbosa
10291055;Davi Silva Souza;masculino;2003-06-24;19;337.264.360-73;Larica da Trindade
10291237;Isabelle Alves Dias;feminino;1945-04-06;77;595.964.999-39;Josicleide Alves Dias
10301126;Breno Cunha Alves;masculino;1955-09-25;66;213.833.417-10;Helem Cunha Alves
10306981;Luiza Silva Cunha;feminino;1973-09-15;48;942.727.437-91;Angelina Silva Cunha
10314900;Sofia Barbosa Correia;feminino;1974-01-15;48;185.457.939-87;Thaise Barbosa Correia
10316021;Fábio Ribeiro Cavalcanti;masculino;1945-10-14;76;773.753.081-95;Walkiria Ribeiro Cavalcanti
10317990;Paulo Alves Cavalcanti;masculino;1963-06-10;59;718.304.165-45;Leticia Alves Cavalcanti
10324409;Rafaela Martins Souza;feminino;1983-08-19;38;454.456.348-84;Silvaneide Gonzaga
10325131;Otávio Martins Sousa;masculino;1940-05-09;82;879.201.889-03;Suiane Martins Sousa
10326070;Gabriel Pereira Pinto;masculino;1946-12-25;75;764.377.909-03;Cristiana Pereira Pinto
10328881;Matilde Almeida Cardoso;feminino;1981-11-06;40;620.640.477-35;Arlene Almeida Cardoso
10330620;Yasmin Alves Fernandes;feminino;1968-11-11;53;360.981.671-68;Edilza Alves Fernandes
10332125;Rebeca Pereira Carvalho;feminino;1951-11-08;70;578.987.478-95;Virginia Pereira Carvalho
10334898;Sofia Martins Fernandes;feminino;1959-06-12;63;655.569.842-04;Sabrina Martins Fernandes
10336233;Cauã Cavalcanti Gomes;masculino;1975-07-22;47;167.854.740-94;Shirlei de Magalhaes
10339337;Livia Souza Cardoso;feminino;1988-10-04;33;490.254.455-51;Rafaeli Souza Cardoso
10340688;Carla Costa Cunha;feminino;1973-03-26;49;780.835.320-53;Dina Costa Cunha
10341225;Arthur Ribeiro Goncalves;masculino;1947-11-05;74;879.513.583-98;Valdemira Lira
10342041;Letícia Sousa Pereira;feminino;1974-07-27;48;477.752.903-74;Francislene Sousa Pereira
10342683;Giovanna Costa Correia;feminino;1971-11-13;50;517.737.560-95;Geni Costa Correia
10342730;José Oliveira Pereira;masculino;1949-10-12;72;227.888.167-15;Aila Oliveira Pereira
10347283;Antônio Fernandes Oliveira;masculino;1994-04-27;28;628.356.260-42;Safira Fernandes Oliveira
10349376;Letícia Costa Rocha;feminino;1953-06-08;69;415.729.583-83;Elda Castilho
10350946;Julieta Pinto Rocha;feminino;1951-07-26;71;133.263.084-77;Sinara Pinto Rocha
10353718;Martim Cunha Oliveira;masculino;1979-04-07;43;876.307.585-70;Joceli Cunha Oliveira
10354144;Eduardo Ribeiro Goncalves;masculino;1976-11-20;45;836.175.402-44;Dafne Ribeiro Goncalves
10354504;Anna Cunha Fernandes;feminino;1979-08-04;43;769.693.909-26;Alcineia Cunha Fernandes
10355214;Mateus Araujo Alves;masculino;1962-11-29;59;682.733.044-34;Enedina Araujo Alves
10361511;Carla Pereira Sousa;feminino;1967-02-22;55;679.362.492-06;Lena Pereira Sousa
10362807;Rafael Alves Barros;masculino;1952-10-14;69;440.653.462-82;Gloria Alves Barros
10364510;Marisa Rodrigues Araujo;feminino;1996-06-05;26;543.400.146-05;Juciara Rodrigues Araujo
10365193;Diego Dias Ribeiro;masculino;1991-01-03;31;827.014.438-06;Pietra Dias Ribeiro
10365929;Marina Correia Melo;feminino;1979-10-24;42;309.858.366-52;Custodia Correia Melo
10369574;Marcos Gomes Correia;masculino;1965-09-10;56;349.836.642-46;Sidineia Gomes Correia
10370564;Yasmin Alves Pinto;feminino;1999-11-12;22;167.023.890-35;Arlinda Alves Pinto
1037073;Carolina Barros Santos;feminino;1999-10-22;22;260.659.032-56;Evanice Barros Santos
10374160;Beatriz Oliveira Correia;feminino;1943-05-25;79;460.886.731-84;Jovita Oliveira Correia
10375216;Isabelle Ferreira Silva;feminino;1983-04-23;39;208.017.612-98;Geani Ferreira Silva
10379113;Leonardo Cavalcanti Silva;masculino;1970-10-06;51;136.360.942-46;Camille Sant
10380153;Camila Martins Pereira;feminino;1953-07-17;69;968.366.974-35;Doraci Martins Pereira
10381011;Mateus Santos Sousa;masculino;1954-05-27;68;101.187.119-03;Bernadete Santos Sousa
10381579;Rafael Costa Pinto;masculino;1970-03-13;52;223.618.088-89;Elci Costa Pinto
10382621;Vitór Ribeiro Rocha;masculino;1980-10-22;41;976.724.744-05;Marinalda Ribeiro Rocha
10382672;Bruna Cavalcanti Costa;feminino;1951-04-12;71;874.015.763-68;Edna Schmitt
10385154;Aline Araujo Castro;feminino;1957-11-22;64;912.770.291-05;Gleyce Aleixo
10386716;Mariana Silva Sousa;feminino;1988-04-09;34;104.689.478-17;Any Silva Sousa
10387880;Amanda Azevedo Azevedo;feminino;1958-09-26;63;966.047.621-30;Eneida Santos Fialho
10388607;Matheus Barbosa Azevedo;masculino;1974-03-09;48;391.923.735-85;Edneide Barbosa Azevedo
10389509;Luana Goncalves Araujo;feminino;1983-03-23;39;211.270.910-00;Franciene Goncalves Araujo
10389693;Otávio Rodrigues Barros;masculino;1987-05-27;35;780.818.402-06;Margaret Rodrigues Barros
10389866;Thaís Oliveira Azevedo;feminino;1986-09-23;35;854.706.842-29;Elidia Oliveira Azevedo
10390198;Davi Cavalcanti Pinto;masculino;1950-07-20;72;302.620.603-29;Adalgiza Cavalcanti Pinto
10391923;Júlia Cunha Pinto;feminino;1980-05-31;42;419.239.156-22;Joseana Cunha Pinto
10392367;Gabriela Fernandes Ferreira;feminino;1953-07-28;69;662.798.026-63;Suele Fernandes Ferreira
10393087;Luan Fernandes Santos;masculino;1941-11-07;80;328.459.423-03;Sarita Fernandes Santos
10393612;Breno Cardoso Gomes;masculino;1953-01-06;69;788.884.195-35;Gina Cardoso Gomes
10395020;Gabriela Azevedo Pinto;feminino;1963-11-29;58;169.750.558-90;Marilha Azevedo Pinto
10396664;Gustavo Oliveira Lima;masculino;1955-08-03;67;251.705.423-13;Mara Oliveira Lima
10397560;Bruno Gomes Martins;masculino;1972-04-12;50;989.454.462-22;Neuraci Goulart
10400472;Kauê Souza Correia;masculino;1947-06-03;75;795.819.847-71;Anna Alvares
10401492;Giovana Costa Pereira;feminino;1944-09-11;77;827.351.064-62;Jurema Costa Pereira
10403858;Raissa Santos Correia;feminino;1978-12-19;43;406.019.882-05;Marinez Santos Correia
10404872;Júlio Almeida Rocha;masculino;1944-05-01;78;491.034.074-20;Gessi Almeida Rocha
10407784;Nicolas Pereira Gomes;masculino;1986-11-04;35;126.658.936-81;Odete Pereira Gomes
10408071;Letícia Melo Pereira;feminino;1937-02-27;85;336.596.882-23;Perola Melo Pereira
10409816;Anna Martins Cavalcanti;feminino;1964-01-24;58;598.891.360-15;Marluci Martins Cavalcanti
10412185;Marina Cunha Pinto;feminino;1955-01-07;67;340.146.272-50;Jacira Leopoldino
10412236;Luiza Sousa Santos;feminino;1994-12-26;27;968.673.323-07;Neli Sousa Santos
10413161;Luis Almeida Goncalves;masculino;1992-09-13;29;748.170.769-33;Sandra Maia
10413667;Matheus Ferreira Azevedo;masculino;1942-08-13;79;197.781.923-08;Cleonice Pinheiro
10414037;Matheus Cavalcanti Sousa;masculino;2000-09-16;21;707.774.349-70;Juceli Gondim
10415201;Joao Correia Ribeiro;masculino;1966-10-24;55;433.462.175-90;Joventina Correia Ribeiro
10419061;Julieta Barros Martins;feminino;1974-12-08;47;179.286.835-98;Erenice Barros Martins
10422006;Cauã Cunha Pereira;masculino;1989-01-19;33;928.232.123-10;Lucielma Cunha Pereira
10422361;Kauê Barros Rocha;masculino;1986-04-01;36;565.514.332-19;Isabelle Barros Rocha
10424352;Julian Lima Cunha;masculino;1992-09-20;29;103.602.028-29;Perpetua Lima Cunha
10425734;Amanda Alves Rodrigues;feminino;1958-03-19;64;696.315.753-73;Ernestina Alves Rodrigues
10426810;Alice Fernandes Costa;feminino;1991-06-27;31;847.774.555-21;Eloa Fernandes Costa
10427579;Guilherme Souza Azevedo;masculino;1984-07-05;38;727.578.559-56;Marize Souza Azevedo
10427604;Tiago Ferreira Ferreira;masculino;1980-07-10;42;156.676.771-72;Noelia Zanetti
10427637;André Sousa Araujo;masculino;1996-09-13;25;280.183.436-08;Elenice Sousa Araujo
10433496;Gabrielle Martins Ferreira;feminino;1945-04-28;77;298.102.537-61;Emile Martins Ferreira
10434431;Kaua Correia Pinto;masculino;1944-03-07;78;425.180.335-30;Suellen Correia Pinto
10435665;Luana Rodrigues Cunha;feminino;1937-02-10;85;551.544.728-02;Ilca Rodrigues Cunha
10435877;Beatrice Dias Rodrigues;feminino;1945-06-11;77;408.366.525-41;Vanderleia Dias Rodrigues
10438619;Martim Araujo Pereira;masculino;1989-07-02;33;377.051.483-15;Isaura Araujo Pereira
10439431;Ana Carvalho Dias;feminino;1942-12-16;79;326.450.077-91;Leandra Carvalho Dias
10440134;Fábio Rodrigues Costa;masculino;1938-10-01;83;885.242.075-40;Andreza Rodrigues Costa
10440462;Ágatha Melo Ribeiro;feminino;1997-07-17;25;133.612.947-62;Wanda Freires
10442662;Rafaela Costa Costa;feminino;2001-01-28;21;652.653.857-62;Elnice Costa Costa
10445528;Nicolas Barros Pereira;masculino;1994-12-09;27;599.798.456-78;Juraci Barros Pereira
10445535;Breno Santos Barbosa;masculino;1986-01-15;36;879.895.363-07;Rafaele Fragoso
10447965;Rebecca Santos Sousa;feminino;1975-06-12;57;160.849.353-97;Laila Santos Sousa
10451459;Eduardo Araujo Silva;masculino;1972-07-06;50;522.619.838-83;Sibele Araujo Silva
10454157;Breno Costa Lima;masculino;1990-08-23;31;670.176.461-42;Ketelin Adao
10458510;Leonor Almeida Rocha;feminino;1947-10-13;74;654.885.579-54;Joyce Almeida Rocha
10458826;Bruno Melo Rodrigues;masculino;1988-02-06;34;234.331.594-91;Thaila Melo Rodrigues
10460459;Lucas Melo Lima;masculino;1968-06-09;54;202.000.269-84;Catiane Cesar
10462177;Murilo Ferreira Rocha;masculino;1971-12-27;50;665.435.812-04;Naiara Ferreira Rocha
10463629;Vitória Goncalves Fernandes;feminino;1969-07-18;53;792.694.389-45;Elisabeth Goncalves Fernandes
10463940;Tiago Pinto Gomes;masculino;1965-06-25;57;846.142.373-88;Iza Pinto Gomes
10464513;Joao Correia Rodrigues;masculino;1958-09-21;63;152.596.676-62;Elzi Correia Rodrigues
10465197;Emilly Melo Goncalves;feminino;1985-01-22;37;587.960.606-62;Greice Melo Goncalves
10471554;Luana Ribeiro Dias;feminino;1997-08-02;25;186.026.722-09;Pamela Ribeiro Dias
10473251;Kaua Carvalho Fernandes;masculino;1950-08-14;71;643.072.902-83;Candida Carvalho Fernandes
10475532;Matilde Alves Azevedo;feminino;2000-07-09;22;989.699.161-80;Cibeli Alves Azevedo
10475780;Guilherme Souza Sousa;masculino;1964-07-25;58;613.493.224-82;Perpetua Souza Sousa
10475979;Carolina Goncalves Lima;feminino;1977-11-29;44;549.280.150-37;Suelem Goncalves Lima
10478218;José Castro Barbosa;masculino;2000-05-02;22;847.309.798-00;Giane Castro Barbosa
10478625;Luis Souza Castro;masculino;1963-07-05;59;148.835.569-05;Valdenia Souza Castro
10479178;Larissa Fernandes Castro;feminino;1939-10-14;82;488.215.853-10;Rosiele Muniz
10481081;Yasmin Dias Gomes;feminino;1952-09-12;69;814.876.396-86;Graciete Dias Gomes
10482828;Tânia Goncalves Cunha;feminino;1948-07-16;74;531.754.660-52;Ieda Goncalves Cunha
10484060;Felipe Lima Rodrigues;masculino;1950-01-15;72;980.130.937-78;Ionice Lima Rodrigues
10484334;Fernanda Costa Goncalves;feminino;1999-05-06;23;803.339.777-26;Elzi Costa Goncalves
10484759;Luiza Dias Barros;feminino;1969-10-15;52;443.180.419-64;Ketelin Calisto
10485791;Anna Correia Pinto;feminino;1992-12-23;29;404.341.413-72;Karine Correia Pinto
10487690;Mariana Castro Pereira;feminino;1959-03-15;63;402.094.254-40;Damares Castro Pereira
10488838;Beatriz Melo Costa;feminino;1993-12-18;28;931.429.857-43;Natalha Melo Costa
10489733;Lara Oliveira Dias;feminino;1969-02-14;53;489.409.934-97;Nara Oliveira Dias
10491449;Vinícius Pinto Lima;masculino;1959-12-22;62;362.559.377-71;Edneide de Mattos
10494464;Samuel Barros Rocha;masculino;1936-09-20;85;568.992.484-92;Gleyce Barros Rocha
10495206;Sofia Azevedo Pereira;feminino;1988-08-14;33;349.893.110-51;Franciely Azevedo Pereira
10498063;Leila Dias Pinto;feminino;1958-10-10;63;710.211.170-30;Lenice Dias Pinto
10499095;Beatrice Rodrigues Azevedo;feminino;1977-11-20;44;300.231.110-38;Laila Holanda
10500072;Julian Cavalcanti Sousa;masculino;1978-10-08;43;315.871.889-88;Damares Cavalcanti Sousa
10501121;Luís Ribeiro Souza;masculino;1983-04-06;39;608.214.091-58;Elivania Ribeiro Souza
10506044;Samuel Oliveira Sousa;masculino;1970-08-07;52;872.052.997-05;Gilvaneide Oliveira Sousa
10506820;Renan Dias Gomes;masculino;1977-01-04;45;576.491.430-23;Dolores Dias Gomes
10507819;Gabrielly Ferreira Pereira;feminino;2001-03-01;21;198.620.549-56;Franisca Natividade
10509720;Leonor Almeida Ferreira;feminino;1956-11-15;65;981.927.093-61;Eleonora Almeida Ferreira
